name,description,url
Eco Points,EcoPoints is a gamified sustainability rewards platform that incentivizes eco-friendly actions,https://ethglobal.com/showcase/eco-points-axpo3
Crocodile,"An interchain Supply Chain Management tool using Hyperlane, and AI agent.",https://ethglobal.com/showcase/crocodile-jhhxh
Convexo Protocol,Institutional Digital treasury to manage frictionless the real world reserves of the future,https://ethglobal.com/showcase/convexo-protocol-2yujy
RaceFi,"Bringing running on chain - one runner, one stake, one competition at a time",https://ethglobal.com/showcase/racefi-yit7r
SoulHub & Cat Phish,GitHub for AI Characters & Simple Game That Uses Those Characters,https://ethglobal.com/showcase/soulhub-and-cat-phish-evijf
LoveFi,"Find love on-chain: from first match to marriage, all in one dating app",https://ethglobal.com/showcase/lovefi-bnox0
FanFuel,Transform fan reactions to sports commentary into direct revenue for your favorite athletes,https://ethglobal.com/showcase/fanfuel-baqhf
Catch me if you can,"Protocol transforming legal loopholes into transparent, on-chain arbitrage opportunities.",https://ethglobal.com/showcase/catch-me-if-you-can-g8xpx
EnshrineFinance,Novel collateralization models with enshrined data oracles for RealWorldAssets,https://ethglobal.com/showcase/enshrinefinance-zx2c2
DegenGuard,Don’t get caught lackin: protect your crypto investments even when you’re not there w/ agents & CDP!,https://ethglobal.com/showcase/degenguard-ddfw1
VoiceDoc,"Health in your hands: AI consults, NFT records, and seamless USDC payments with VoiceDoc.",https://ethglobal.com/showcase/voicedoc-ayzev
PolyPoll,Sentiment market for investing; Stake on speculative outcomes of community positions on any issue,https://ethglobal.com/showcase/polypoll-ftk3d
Unisurance,Protect your Liquidity Positions! Unisure's hook tracks Impermanent loss to provide insurance for LP,https://ethglobal.com/showcase/unisurance-0xhno
ColdCache,"A decentralized video game store - without the steam, 100% perpetuity game ownership",https://ethglobal.com/showcase/coldcache-8gjre
AI Pump Fun,AI Pump is a defi game where users can speculate on out come of a game between agents.,https://ethglobal.com/showcase/ai-pump-fun-qxnm5
BenTen,A decentralized exchange childhood memories: trade NFTs inspired by childhood memories,https://ethglobal.com/showcase/benten-tuwe0
BenTen,A decentralized exchange childhood memories: trade NFTs inspired by childhood memories,https://ethglobal.com/showcase/benten-tuwe0
Cosmic-Capital,Flow Testnet bank app for depositing and withdrawing FLOW using a Cadence smart contract.,https://ethglobal.com/showcase/cosmic-capital-21as0
Let's AI Dialog,This is a Pokémon clone where a player and an AI chat about a wide variety of topics.,https://ethglobal.com/showcase/lets-ai-dialog-9ptuy
Domus,Tokenize real-estate properties and rediscover fractional ownership & omnichain mobility with Domus!,https://ethglobal.com/showcase/domus-67x1j
E2E TEE Verification,[WIP] An end-to-end TEE verification flow for TDX and AWS Nitro secure enclaves,https://ethglobal.com/showcase/e2e-tee-verification-8ofyx
PersistenceOfMemory,"A blockchain app for backing up, organizing, and anchoring your digital memories on-chain forever.",https://ethglobal.com/showcase/persistenceofmemory-9j1p0
SecureDrop,"A Ledger device minimal installer, designed to help people secure their assets",https://ethglobal.com/showcase/securedrop-t2ri4
Artera,Help artist find collectors and identify buyers aligned with their art style,https://ethglobal.com/showcase/artera-6697i
Qweb,"Search that gives back to the web. Websites shouldn’t just get crawled, they should get paid.",https://ethglobal.com/showcase/qweb-v55j7
Astra,Astra : A decentralized data vault where you own your digital footprint & get paid for your data.,https://ethglobal.com/showcase/astra-krdqm
Defi Guardian,DeFi Guardian: Community-powered insurance that protects your crypto from hacks.,https://ethglobal.com/showcase/defi-guardian-223a5
Real-World Access,"RWAccess redefines access control with secure, decentralized, and user-friendly solutions.",https://ethglobal.com/showcase/real-world-access-zoyaw
The42,"Meter, not membership for LLM inference. Democratizing access to intelligence.",https://ethglobal.com/showcase/the42-sijqk
ShadowVault,"Zero-knowledge password manager: client-side cryptography, Walrus storage, on-chain integrity",https://ethglobal.com/showcase/shadowvault-21u9q
FlowRL,Flow RL packages and sells data generated on Flow to be used in reinforcement learning.,https://ethglobal.com/showcase/flowrl-pkb5a
GEN PAY,GEN PAY uses NLP to convert plain language into personalized crypto payment plans for global users,https://ethglobal.com/showcase/gen-pay-rp94d
Barely Human,"A reflection on agency into addiction, autonomy to automaton. And maybe, a way out.",https://ethglobal.com/showcase/barely-human-upkr5
Saga-DEX,Our mission is building a  DEX on its own dedicated Saga chainlet.,https://ethglobal.com/showcase/saga-dex-41av7
MeritMint,"Pass quizzes, mint soulbound certificates, and showcase verifiable skills on-chain.",https://ethglobal.com/showcase/meritmint-yqk95
StableHoney,"HoneyCoin lets users mint HNY tokens, redeem them for real honey, and track fulfillment on-chain.",https://ethglobal.com/showcase/stablehoney-pan8f
ScoutStream,"Stream trainings to help find the next gems. Clubs get paid for streams, scouts/agents get data",https://ethglobal.com/showcase/scoutstream-ohwmx
SubPay AI,SubPay AI: Let your subscriptions pay themselves with micro-savings + DeFi yield.,https://ethglobal.com/showcase/subpay-ai-20wfn
skyFall,AI-powered weather risk hedging with real-time data and DeFi mutual aid pools,https://ethglobal.com/showcase/skyfall-jp8jm
Tea on-Chain,"An anonymous, onchain space to spill the tea about guys to help women protect each other",https://ethglobal.com/showcase/tea-on-chain-223y0
FanWorld,"A Web3 platform that combines staking, prediction markets, community voting, and NFT",https://ethglobal.com/showcase/fanworld-wmnok
Hera,Turn your Fightcade matches into real money battles with Hera -- USDC on the line!,https://ethglobal.com/showcase/hera-54mpb
VibeFlow,"Find your tribe, verify your vibe. Social network for event-based connections.",https://ethglobal.com/showcase/vibeflow-8hib4
